jurisdiction,prisoner_count,state_population,conviction_rate_1000
Alabama,23745,4860545.0,48.85254637082879
Alaska,4378,741522.0,59.04072974234075
Arizona,42248,6908642.0,61.15239434899073
Arkansas,15833,2988231.0,52.98452495807721
California,129416,39296476.0,32.93323299524364
Colorado,19486,5530105.0,35.23622065042164
Connecticut,15040,3587685.0,41.92118315849915
Delaware,6334,952698.0,66.48486718771322
Florida,98010,20656589.0,47.44733024411726
Georgia,53433,10313620.0,51.80819149823244
Hawaii,5182,1428683.0,36.271167221839974
Idaho,7221,1680026.0,42.98147766760753
Illinois,43616,12835726.0,33.980158192843945
Indiana,25143,6634007.0,37.900171042930765
Iowa,9049,3130869.0,28.90251875757178
Kansas,9653,2907731.0,33.19770639030914
Kentucky,11867,4436113.0,26.750896561922566
Louisiana,15059,4686157.0,32.135073579481016
Maine,2356,1330232.0,17.711196242459962
Maryland,20236,6024752.0,33.588104539406764
Massachusetts,9038,6823721.0,13.244972940716657
Michigan,41122,9933445.0,41.39752120236233
Minnesota,9509,5525050.0,17.210703975529633
Mississippi,13720,2985415.0,45.95675978046604
Missouri,32427,6091176.0,53.23602535864996
Montana,3199,1038656.0,30.799417709039375
Nebraska,5167,1907603.0,27.086348679468422
Nevada,13932,2939254.0,47.39978239376386
New Hampshire,2599,1335015.0,19.467946053040603
New Jersey,19458,8978416.0,21.67197421015021
New Mexico,6996,2085432.0,33.547006087947246
New York,50611,19836286.0,25.514352838026234
North Carolina,35970,10156689.0,35.41508458120555
North Dakota,1639,755548.0,21.692863987463404
Ohio,52172,11622554.0,44.888584729311646
Oklahoma,26367,3921207.0,67.24205072570767
Oregon,14579,4085989.0,35.68046805803932
Pennsylvania,48287,12787085.0,37.762320341188
Rhode Island,2887,1057566.0,27.298532668410292
South Carolina,20376,4959822.0,41.08211947928777
South Dakota,3770,861542.0,43.7587488479958
Tennessee,21539,6649404.0,32.392376820539106
Texas,151276,27904862.0,54.21134137843076
Utah,4502,3044321.0,14.788190864235407
Vermont,1735,623354.0,27.833301783577227
Virginia,29882,8414380.0,35.51301462496345
Washington,17228,7280934.0,23.66179943397372
West Virginia,5899,1828637.0,32.25899946244115
Wisconsin,23163,5772917.0,40.123563183049406
Wyoming,2352,584910.0,40.21131456121455
